id,sector,size,tech_score,human_score,gov_score,shadow_it_ratio,has_critical_failure,final_risk_score,rating
sme_0000,FinTech,Micro (<10),72.4412367831715,53.044527586548575,92.13685481982628,0.699566776029188,False,49.74504735192264,Critical
sme_0001,FinTech,Micro (<10),62.00800024646161,61.55485247518628,65.31077170535326,0.1625196010407565,False,57.78355974256623,At Risk
sme_0002,Services,Small (10-50),67.22127956070278,71.55768284309133,73.128825573782,0.2284598824524469,False,62.636297517061884,At Risk
sme_0003,Retail,Micro (<10),64.628058402165,37.170579230412045,77.97402065911835,0.7400254404482527,False,40.3068962975212,Critical
sme_0004,Retail,Micro (<10),79.45144264579987,59.99913454228118,57.29485333112223,0.2622133450495156,False,58.85853162769801,At Risk
sme_0005,Retail,Micro (<10),63.32411431650516,36.00338612423165,62.22524302742808,0.2670249020985976,False,46.8021354213455,Critical
sme_0006,Services,Small (10-50),81.48704997109473,54.38943445974418,58.67909996386757,0.515385253161358,False,51.239504179098056,At Risk
sme_0007,Services,Micro (<10),79.70212967814038,48.28047965288916,55.60149567742045,1.431392834720884,False,30.640918655316042,Critical
sme_0008,Services,Medium (50-250),69.4874454888027,67.0089834363077,88.68207307028288,0.911947191082902,False,46.53497906965403,Critical
sme_0009,FinTech,Micro (<10),74.49811946100591,75.9327057837803,40.56623964054945,0.2328651697757186,False,59.20634993623483,At Risk
sme_0010,Retail,Small (10-50),84.71196415701094,64.06503259169793,65.65437371692188,1.2709777701905054,False,38.51867729030192,Critical
sme_0011,Manufacturing,Small (10-50),76.30397312072714,48.06327027097566,36.35808884475728,0.3291550033007847,False,47.86962307450747,Critical
sme_0012,Retail,Small (10-50),59.08048901887882,41.35451270101183,43.790069767780615,0.1507958237136734,False,45.4912313645897,Critical
sme_0013,Services,Small (10-50),74.26733323859385,42.64160312164693,66.7832108074968,0.7725344859990456,False,41.67734951304431,Critical
sme_0014,Manufacturing,Medium (50-250),98.71963761159488,59.50687460295796,79.02506129340298,0.3582916431795154,False,66.93851387060653,At Risk
sme_0015,Retail,Micro (<10),90.55788726782528,64.92277842974079,78.73171610665632,0.543870352036847,False,59.90776498576429,At Risk
sme_0016,Services,Medium (50-250),62.6844308811516,70.4290260588236,60.9729158496181,1.4604882127402954,False,31.300617061817952,Critical
sme_0017,Services,Small (10-50),84.95269771611756,71.20215714310318,60.96304423839727,0.6679306040781993,False,53.091927828205115,At Risk
