id,sector,size,tech_score,human_score,gov_score,shadow_it_ratio,has_critical_failure
sme_0000,FinTech,Micro (<10),72.4412367831715,53.044527586548575,92.13685481982627,0.699566776029188,False
sme_0001,FinTech,Micro (<10),62.00800024646161,61.55485247518628,65.31077170535326,0.16251960104075652,False
sme_0002,Services,Small (10-50),67.22127956070278,71.55768284309133,73.128825573782,0.2284598824524469,False
sme_0003,Retail,Micro (<10),64.628058402165,37.170579230412045,77.97402065911835,0.7400254404482527,False
sme_0004,Retail,Micro (<10),79.45144264579987,59.99913454228118,57.29485333112223,0.2622133450495156,False
sme_0005,Retail,Micro (<10),63.32411431650516,36.00338612423165,62.22524302742808,0.2670249020985976,False
sme_0006,Services,Small (10-50),81.48704997109473,54.38943445974418,58.679099963867564,0.515385253161358,False
sme_0007,Services,Micro (<10),79.70212967814038,48.280479652889156,55.60149567742045,1.431392834720884,False
sme_0008,Services,Medium (50-250),69.4874454888027,67.0089834363077,88.68207307028288,0.911947191082902,False
sme_0009,FinTech,Micro (<10),74.49811946100591,75.9327057837803,40.56623964054945,0.23286516977571864,False
sme_0010,Retail,Small (10-50),84.71196415701094,64.06503259169793,65.65437371692188,1.2709777701905054,False
sme_0011,Manufacturing,Small (10-50),76.30397312072714,48.06327027097566,36.35808884475728,0.3291550033007847,False
sme_0012,Retail,Small (10-50),59.08048901887882,41.35451270101183,43.790069767780615,0.15079582371367345,False
sme_0013,Services,Small (10-50),74.26733323859385,42.641603121646924,66.7832108074968,0.7725344859990456,False
sme_0014,Manufacturing,Medium (50-250),98.71963761159488,59.50687460295796,79.02506129340298,0.35829164317951545,False
sme_0015,Retail,Micro (<10),90.55788726782527,64.92277842974079,78.73171610665632,0.543870352036847,False
sme_0016,Services,Medium (50-250),62.6844308811516,70.4290260588236,60.972915849618104,1.4604882127402954,False
sme_0017,Services,Small (10-50),84.95269771611756,71.20215714310318,60.963044238397266,0.6679306040781993,False
sme_0018,FinTech,Small (10-50),94.29577389693335,58.49416855788047,98.25388824255482,0.4732866897961533,False
sme_0019,Retail,Micro (<10),63.33941838174851,63.92236827207849,85.88826155746854,1.953434340286325,False
sme_0020,FinTech,Micro (<10),72.39284138051283,37.896703110521806,81.46362270304556,0.4764067830504304,False
sme_0021,Retail,Micro (<10),74.1274661774686,78.67840343954171,63.352824915374384,0.807172115588218,False
sme_0022,Manufacturing,Micro (<10),44.42992833085991,66.32316539231067,64.79489830069429,0.9645764803608091,False
sme_0023,Services,Small (10-50),76.06775167244098,48.65002393781324,35.44409578394499,0.5596080980431607,False
sme_0024,Manufacturing,Micro (<10),92.0654593193297,50.233606958863696,47.510072130957376,0.39818945566563557,False
sme_0025,FinTech,Small (10-50),71.4062467186649,53.26574741443676,40.59819157475209,0.2528999053392266,False
